time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,month
2025-01-01,29.9,37.2,25.3,0.0,4.48,1
2025-01-02,29.9,36.9,24.9,0.0,4.57,1
2025-01-03,30.0,37.6,25.7,0.0,4.44,1
2025-01-04,29.6,36.7,25.7,0.7,4.37,1
2025-01-05,29.9,37.5,25.5,0.0,4.54,1
2025-01-06,30.1,37.1,26.0,0.0,4.66,1
2025-01-07,30.1,37.1,25.9,0.5,4.48,1
2025-01-08,30.2,37.4,25.7,0.2,4.7,1
2025-01-09,29.6,37.3,25.2,0.0,4.96,1
2025-01-10,29.3,37.3,23.4,0.0,5.53,1
2025-01-11,28.6,36.6,22.1,0.0,6.13,1
2025-01-12,28.2,37.1,20.5,0.0,5.63,1
2025-01-13,28.3,36.9,21.5,0.0,4.95,1
2025-01-14,29.3,36.3,25.2,0.0,4.77,1
2025-01-15,29.9,37.1,25.8,0.0,4.38,1
2025-01-16,30.3,38.4,25.1,0.0,4.83,1
2025-01-17,30.8,38.9,25.8,0.0,5.1,1
2025-01-18,29.9,37.3,25.8,0.0,4.08,1
2025-01-19,29.1,35.8,24.7,0.0,5.26,1
2025-01-20,29.0,35.4,24.4,0.0,4.84,1
2025-01-21,29.2,36.2,24.7,0.0,4.49,1
2025-01-22,29.2,36.6,24.2,0.1,4.64,1
2025-01-23,28.6,34.7,25.7,0.4,4.07,1
2025-01-24,29.1,35.9,24.6,0.0,4.56,1
2025-01-25,29.1,36.3,25.0,0.1,4.65,1
2025-01-26,29.2,36.2,25.2,0.0,4.57,1
2025-01-27,29.1,37.0,24.6,0.0,4.72,1
2025-01-28,29.1,36.5,24.8,0.2,4.72,1
2025-01-29,29.4,35.9,25.8,1.4,4.7,1
2025-01-30,29.0,35.9,24.6,0.9,4.55,1
2025-01-31,29.4,36.2,25.0,0.9,4.59,1
2025-02-01,29.2,35.2,25.4,2.3,4.53,2
2025-02-02,28.5,34.0,25.5,2.3,4.24,2
2025-02-03,29.1,35.2,24.4,0.0,4.72,2
2025-02-04,30.0,37.5,25.3,0.0,4.88,2
2025-02-05,29.9,36.9,25.8,0.0,5.15,2
2025-02-06,29.5,35.6,25.2,0.0,4.95,2
2025-02-07,29.0,34.6,25.8,5.3,4.3,2
2025-02-08,28.7,34.0,26.3,5.7,3.78,2
2025-02-09,29.3,34.7,25.4,0.0,4.67,2
2025-02-10,29.7,36.1,25.6,0.0,4.77,2
2025-02-11,29.7,36.7,25.9,0.1,4.85,2
2025-02-12,29.4,35.8,26.4,0.7,4.69,2
2025-02-13,29.6,35.6,26.1,0.1,4.85,2
2025-02-14,30.0,37.0,25.7,0.0,4.98,2
2025-02-15,29.8,36.3,26.4,0.2,4.98,2
2025-02-16,30.1,37.0,25.9,0.0,5.23,2
2025-02-17,30.6,37.3,27.0,0.0,5.28,2
2025-02-18,29.9,35.5,27.0,0.3,4.98,2
2025-02-19,29.6,35.5,25.9,0.2,4.97,2
2025-02-20,29.8,35.6,26.7,0.2,5.09,2
2025-02-21,29.9,35.9,26.2,0.4,5.17,2
2025-02-22,29.5,35.1,26.5,3.4,4.96,2
2025-02-23,27.6,32.3,24.9,0.2,2.56,2
2025-02-24,29.3,35.4,25.3,0.0,4.53,2
2025-02-25,29.6,36.5,25.8,0.0,5.25,2
2025-02-26,29.1,35.0,25.2,0.1,4.75,2
2025-02-27,29.4,35.8,25.4,0.0,5.03,2
2025-02-28,29.3,35.3,25.2,0.1,5.06,2
2025-03-01,29.7,35.3,25.7,0.0,5.0,3
2025-03-02,29.9,36.0,26.0,0.0,5.03,3
2025-03-03,30.0,36.0,26.6,0.8,5.2,3
2025-03-04,29.7,35.1,26.7,1.2,5.12,3
2025-03-05,29.6,35.2,26.2,2.6,5.12,3
2025-03-06,30.2,36.1,26.1,0.2,5.77,3
2025-03-07,30.3,37.2,26.6,0.0,5.23,3
2025-03-08,30.2,36.0,26.6,0.1,5.28,3
2025-03-09,29.8,35.6,26.5,0.0,5.2,3
2025-03-10,30.0,35.3,26.8,0.0,5.32,3
2025-03-11,30.1,36.5,26.6,1.7,5.28,3
2025-03-12,30.3,37.2,26.0,0.2,5.41,3
2025-03-13,30.3,36.9,26.7,0.9,5.58,3
2025-03-14,29.7,34.9,26.1,0.3,5.27,3
2025-03-15,29.8,35.1,25.9,0.1,4.76,3
2025-03-16,30.1,36.4,26.4,0.1,5.08,3
2025-03-17,29.9,35.2,26.7,1.0,5.15,3
2025-03-18,30.1,35.5,27.0,0.7,5.24,3
2025-03-19,29.6,35.3,26.8,3.6,5.2,3
2025-03-20,29.6,35.8,26.4,1.4,4.48,3
2025-03-21,29.4,35.4,26.3,0.9,4.89,3
2025-03-22,28.8,34.7,24.8,0.5,4.7,3
2025-03-23,28.5,34.0,25.1,0.9,3.97,3
2025-03-24,29.2,34.8,25.8,1.5,4.94,3
2025-03-25,29.2,34.0,26.1,2.3,4.66,3
2025-03-26,28.3,35.1,25.8,2.9,4.24,3
2025-03-27,28.8,34.5,25.1,0.2,5.18,3
2025-03-28,29.1,34.2,25.8,0.6,4.96,3
2025-03-29,29.3,34.9,25.7,1.1,5.28,3
2025-03-30,28.9,35.2,25.1,14.4,5.16,3
2025-03-31,29.1,34.4,25.4,0.7,4.21,3
2025-04-01,29.3,35.0,25.7,0.9,4.95,4
2025-04-02,28.8,34.4,25.5,9.4,4.27,4
2025-04-03,27.4,33.6,24.0,2.5,3.65,4
2025-04-04,29.2,34.5,25.0,0.9,5.13,4
2025-04-05,29.8,35.2,26.2,0.1,5.54,4
2025-04-06,29.8,35.0,26.7,0.2,5.38,4
2025-04-07,29.6,34.4,25.9,0.2,5.17,4
2025-04-08,29.7,35.4,26.0,0.6,5.45,4
2025-04-09,28.1,33.9,24.0,12.9,3.89,4
2025-04-10,29.3,35.2,25.6,1.9,5.27,4
2025-04-11,28.0,32.1,24.3,1.8,3.51,4
2025-04-12,28.7,34.1,24.7,0.9,4.77,4
2025-04-13,29.5,34.7,25.6,0.6,5.13,4
2025-04-14,29.5,35.3,26.1,1.2,5.18,4
2025-04-15,28.9,34.5,25.3,2.4,4.77,4
2025-04-16,29.5,35.6,25.9,0.6,5.63,4
2025-04-17,29.0,34.1,25.2,2.0,4.68,4
2025-04-18,29.6,35.1,25.8,0.9,5.39,4
2025-04-19,29.2,34.3,26.4,0.6,4.99,4
